#timebase=40000000(ps),#voltbase=1000000(uV)

2.00000E-07,3320.000
4.00000E-07,3320.000
6.00000E-07,3240.000
8.00000E-07,3240.000
1.00000E-06,3280.000
1.20000E-06,3240.000
1.40000E-06,3240.000
1.60000E-06,3280.000
1.80000E-06,3200.000
2.00000E-06,3240.000
2.20000E-06,3280.000
2.40000E-06,3240.000
2.60000E-06,3240.000
2.80000E-06,3280.000
3.00000E-06,3240.000
3.20000E-06,3200.000
3.40000E-06,3240.000
3.60000E-06,3280.000
3.80000E-06,3280.000
4.00000E-06,3280.000
4.20000E-06,3280.000
4.40000E-06,3280.000
4.60000E-06,3280.000
4.80000E-06,3280.000
5.00000E-06,3280.000
5.20000E-06,3280.000
5.40000E-06,3280.000
5.60000E-06,3320.000
5.80000E-06,3280.000
6.00000E-06,3280.000
6.20000E-06,3280.000
6.40000E-06,3320.000
6.60000E-06,3240.000
6.80000E-06,3280.000
7.00000E-06,3240.000
7.20000E-06,3280.000
7.40000E-06,3280.000
7.60000E-06,3240.000
7.80000E-06,3320.000
8.00000E-06,3280.000
8.20000E-06,3240.000
8.40000E-06,3280.000
8.60000E-06,3320.000
8.80000E-06,3320.000
9.00000E-06,3320.000
9.20000E-06,3280.000
9.40000E-06,3240.000
9.60000E-06,3240.000
9.80000E-06,3280.000
1.00000E-05,3240.000
1.02000E-05,3280.000
1.04000E-05,3280.000
1.06000E-05,3280.000
1.08000E-05,3280.000
1.10000E-05,3240.000
1.12000E-05,3320.000
1.14000E-05,3280.000
1.16000E-05,3200.000
1.18000E-05,3280.000
1.20000E-05,3280.000
1.22000E-05,3320.000
1.24000E-05,3280.000
1.26000E-05,3240.000
1.28000E-05,3280.000
1.30000E-05,3280.000
1.32000E-05,3320.000
1.34000E-05,3240.000
1.36000E-05,3240.000
1.38000E-05,3240.000
1.40000E-05,3320.000
1.42000E-05,3280.000
1.44000E-05,3320.000
1.46000E-05,3240.000
1.48000E-05,3240.000
1.50000E-05,3280.000
1.52000E-05,3320.000
1.54000E-05,3320.000
1.56000E-05,3320.000
1.58000E-05,3240.000
1.60000E-05,3280.000
1.62000E-05,3280.000
1.64000E-05,3240.000
1.66000E-05,3320.000
1.68000E-05,3280.000
1.70000E-05,3240.000
1.72000E-05,3280.000
1.74000E-05,3320.000
1.76000E-05,3240.000
1.78000E-05,3240.000
1.80000E-05,3280.000
1.82000E-05,3320.000
1.84000E-05,3240.000
1.86000E-05,3240.000
1.88000E-05,3280.000
1.90000E-05,3280.000
1.92000E-05,3280.000
1.94000E-05,3280.000
1.96000E-05,3280.000
1.98000E-05,3320.000
2.00000E-05,3280.000
2.02000E-05,3320.000
2.04000E-05,3320.000
2.06000E-05,3320.000
2.08000E-05,3320.000
2.10000E-05,3240.000
2.12000E-05,3280.000
2.14000E-05,3240.000
2.16000E-05,3280.000
2.18000E-05,3320.000
2.20000E-05,3280.000
2.22000E-05,3320.000
2.24000E-05,3240.000
2.26000E-05,3240.000
2.28000E-05,3280.000
2.30000E-05,3240.000
2.32000E-05,3240.000
2.34000E-05,3280.000
2.36000E-05,3240.000
2.38000E-05,3240.000
2.40000E-05,3280.000
2.42000E-05,3240.000
2.44000E-05,3280.000
2.46000E-05,3280.000
